time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447000000	18.9114	7.35596	5.0133	1.0096	0.377313	lidar	5.17737	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9902	7.58277	4.99211	1.06604	0.448632	radar	4.64981	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0847	7.82446	5.00045	1.1026	0.465464	lidar	0.429025	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2015	8.04061	4.99733	1.11934	0.454359	radar	0.427601	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2842	8.25041	4.97348	1.14737	0.462763	lidar	1.93661	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3798	8.46962	4.96702	1.16361	0.444553	radar	2.56592	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4792	8.62692	4.9047	1.16957	0.429887	lidar	6.30818	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5628	8.85002	4.89606	1.19928	0.448698	radar	0.874879	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7326	9.01532	4.868	1.17688	0.396802	lidar	5.32248	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7966	9.25056	4.86349	1.21948	0.440914	radar	1.02035	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9348	9.45586	4.86036	1.21456	0.408526	lidar	2.76498	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9691	9.69486	4.84896	1.27234	0.480324	radar	2.90377	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0629	9.91539	4.84549	1.28417	0.46588	lidar	0.508235	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1198	10.1634	4.85907	1.30744	0.455325	radar	6.58947	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1727	10.4126	4.87044	1.33535	0.460578	lidar	0.179538	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1822	10.6568	4.8631	1.38985	0.518318	radar	2.90243	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2458	10.9081	4.87929	1.40783	0.507585	lidar	1.34845	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2743	11.1608	4.88987	1.43316	0.499037	radar	4.67527	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3103	11.3927	4.88088	1.4548	0.495982	lidar	0.111116	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2498	11.6464	4.87432	1.54165	0.611538	radar	10.3054	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.324	11.8797	4.87316	1.54252	0.577253	lidar	4.79942	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3509	12.116	4.87021	1.5403	0.506518	radar	4.03688	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3427	12.3836	4.89293	1.57188	0.511385	lidar	0.711416	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2896	12.625	4.88593	1.6364	0.58877	radar	3.06386	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.315	12.8622	4.88109	1.64755	0.568462	lidar	1.88717	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3004	13.0981	4.87431	1.67462	0.570706	radar	2.16405	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2629	13.3155	4.85083	1.70661	0.576999	lidar	1.35155	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2231	13.5526	4.84847	1.73087	0.561591	radar	1.3881	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2062	13.8016	4.85674	1.74886	0.549423	lidar	1.13937	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1478	14.0325	4.85111	1.7872	0.572518	radar	0.869077	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.096	14.2782	4.86012	1.81402	0.569587	lidar	0.212647	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0233	14.5084	4.85717	1.8446	0.56813	radar	1.42647	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9194	14.7508	4.87271	1.88575	0.580819	lidar	1.09818	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8516	14.9734	4.86185	1.90025	0.54609	radar	3.51324	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8185	15.1964	4.84552	1.90983	0.528048	lidar	2.25805	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6827	15.4064	4.84543	1.99489	0.66078	radar	7.56029	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6453	15.6073	4.81024	2.00565	0.63946	lidar	4.14021	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5481	15.8187	4.8026	2.03046	0.623266	radar	1.53938	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4456	16.028	4.79643	2.05951	0.621548	lidar	0.0655484	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3422	16.2409	4.79219	2.07091	0.573274	radar	2.01788	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2297	16.422	4.76523	2.10175	0.57834	lidar	1.18886	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.108	16.6228	4.76221	2.13121	0.580588	radar	0.33919	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9829	16.8246	4.76237	2.15842	0.578567	lidar	0.0318909	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8255	17.014	4.77165	2.22173	0.662158	radar	6.08025	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6643	17.23	4.80314	2.25395	0.658172	lidar	1.37702	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5592	17.4411	4.79282	2.23001	0.531977	radar	6.36387	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3554	17.6197	4.81314	2.27563	0.550916	lidar	3.68596	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2179	17.8133	4.80806	2.27492	0.48539	radar	2.22172	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0862	18.0013	4.7994	2.28976	0.475827	lidar	0.919539	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9079	18.1569	4.79372	2.33704	0.525565	radar	2.18563	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.769	18.3087	4.76159	2.35889	0.523288	lidar	1.39497	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6315	18.494	4.75555	2.36482	0.490906	radar	6.65143	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4465	18.6663	4.77001	2.39131	0.491949	lidar	0.284156	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2622	18.8095	4.76357	2.42909	0.519087	radar	1.9005	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.0973	18.9498	4.74264	2.45366	0.519086	lidar	0.552468	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9295	19.1202	4.74633	2.46457	0.49409	radar	2.92313	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7152	19.233	4.74102	2.50555	0.512391	lidar	2.79406	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5265	19.3841	4.74868	2.53044	0.518006	radar	3.15957	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3134	19.5346	4.77259	2.55579	0.515657	lidar	0.705966	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0876	19.6191	4.76385	2.60995	0.564317	radar	10.1613	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8872	19.7585	4.77326	2.63024	0.554891	lidar	0.734753	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6951	19.8868	4.76253	2.63141	0.493093	radar	3.18603	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4759	20.0314	4.7896	2.64863	0.48283	lidar	1.33974	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2699	20.1692	4.79993	2.65939	0.460952	radar	5.66576	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0789	20.3038	4.79681	2.6696	0.447043	lidar	1.75524	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8495	20.3846	4.79625	2.70993	0.479151	radar	2.22459	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6355	20.5034	4.80395	2.72611	0.470122	lidar	0.642369	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4034	20.5867	4.81115	2.76546	0.505691	radar	1.37769	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1587	20.6597	4.82172	2.79836	0.513394	lidar	0.839035	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9254	20.7286	4.82487	2.83591	0.540672	radar	0.375899	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6586	20.788	4.85144	2.87199	0.548862	lidar	2.1093	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4144	20.8162	4.85239	2.92944	0.613152	radar	2.18342	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1659	20.8585	4.85987	2.96331	0.61614	lidar	0.225159	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9364	20.9166	4.85679	2.98344	0.59963	radar	1.76497	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7229	20.9676	4.83848	3.00459	0.591314	lidar	1.61642	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4768	21.0056	4.84783	3.03263	0.590774	radar	2.67668	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2295	21.0435	4.85849	3.057	0.584078	lidar	0.271704	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9923	21.0628	4.85634	3.08834	0.592804	radar	0.877079	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7432	21.0362	4.85286	3.13214	0.609027	lidar	1.76206	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4978	21.0224	4.85236	3.16713	0.613381	radar	1.0518	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2715	21.0202	4.83873	3.19424	0.610506	lidar	0.558536	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0205	20.9806	4.8436	3.23381	0.619707	radar	4.12956	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7986	20.9465	4.8242	3.26784	0.624865	lidar	0.47355	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5497	20.9483	4.82584	3.26614	0.553689	radar	5.77082	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2816	20.9734	4.8605	3.26985	0.523048	lidar	3.57846	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0425	20.9552	4.85968	3.28819	0.511658	radar	1.00123	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83266	20.9217	4.83062	3.31267	0.512562	lidar	1.57036	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59179	20.9172	4.82373	3.30442	0.442752	radar	2.13138	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38538	20.8689	4.79317	3.33063	0.44942	lidar	1.2634	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.15731	20.8292	4.78803	3.3524	0.452699	radar	1.54333	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88482	20.7933	4.82627	3.36597	0.440129	lidar	1.83848	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66339	20.7147	4.81672	3.40166	0.462905	radar	4.58801	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40224	20.6279	4.84692	3.43154	0.46902	lidar	2.72964	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17364	20.547	4.84799	3.46308	0.485669	radar	0.151206	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93525	20.4669	4.85743	3.48678	0.484471	lidar	0.142118	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71867	20.3796	4.85476	3.52367	0.517542	radar	3.5532	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.43382	20.3196	4.90911	3.52928	0.490759	lidar	3.88431	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.20601	20.2213	4.91051	3.55335	0.48782	radar	0.228965	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.94878	20.1402	4.93913	3.56541	0.471697	lidar	1.12275	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.72543	20.0473	4.93447	3.58197	0.459204	radar	0.365076	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.47861	19.9587	4.95397	3.59372	0.444963	lidar	0.635792	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.2623	19.8638	4.9463	3.61214	0.443341	radar	2.65689	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.00446	19.7732	4.97659	3.61871	0.423452	lidar	1.36711	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.7883	19.6237	4.99204	3.66578	0.47456	radar	2.3537	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.59254	19.5043	4.97225	3.68989	0.476024	lidar	0.76185	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.3939	19.3534	4.9699	3.72599	0.495587	radar	1.67128	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.17275	19.2543	4.9704	3.73262	0.474144	lidar	1.86174	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.97193	19.143	4.9485	3.737	0.436794	radar	4.37829	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79503	18.9919	4.92885	3.76833	0.449186	lidar	0.53486	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.59235	18.8411	4.94015	3.79724	0.466427	radar	1.51312	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.40496	18.7094	4.9257	3.81455	0.460011	lidar	1.00293	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.21354	18.5684	4.9117	3.82297	0.427972	radar	1.38427	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.07195	18.4098	4.87195	3.85717	0.44564	lidar	2.23645	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
